species;weighted.betweenness;weighted.closeness;biomes;Host_Status
Tachyphonus_rufus;0,193800130067201;0,0193571773362094;Mata_Atlantica;R
Tangara_cayana;0;0,0145015780235955;Caatinga;R
Tangara_cayana;0;0,00486832339756356;Cerrado;R
Tangara_cayana;0;0,0128586066452382;Mata_Atlantica;R
Tangara_cyanoptera;0;0,00588116353845085;Mata_Atlantica;R
Tangara_nigroviridis;0;0,00754599100280619;Andinean_Forest;R
Tangara_vassorii;0;0,00738851727622472;Andinean_Forest;R
Tangara_viridicollis;0;0,00622025009208143;Andinean_Forest;R
Thamnomanes_ardesiacus;0;0,00494489688515197;Amazonia;R
Thamnomanes_ardesiacus;0;NA;Andinean_Forest;R
Thamnomanes_caesius;0,0123406425293218;0,00687757726208335;Amazonia;R
Thamnomanes_caesius;0,00859804155720086;NA;Andinean_Forest;R
Thamnomanes_saturninus;0,0135645079041305;0,00743430989916754;Amazonia;R
Thamnophilus_aethiops;0,000917899031106578;0,00646231991233578;Amazonia;R
Thamnophilus_aethiops;0;NA;Andinean_Forest;R
Thamnophilus_amazonicus;0;0,00476024848199399;Amazonia;R
Thamnophilus_ambiguus;0;0,00231043727800464;Cerrado;R
Thamnophilus_ambiguus;0;NA;Mata_Atlantica;R
Thamnophilus_doliatus;0;NA;Amazonia;R
Thamnophilus_murinus;0;0,00871722954489561;Amazonia;R
Thamnophilus_nigrocinereus;0,126874043855176;0,00947479017852852;Amazonia;R
Thamnophilus_pelzelni;0;0,0145015780235955;Caatinga;R
Thamnophilus_schistaceus;0;0,00682038529994333;Amazonia;R
Thlypopsis_sordida;0;0,00462284873543256;Cerrado;R
Thraupis_cyanocephala;0;0,0072392434010661;Andinean_Forest;R
Thraupis_palmarum;0;0,00422771604810356;Amazonia;R
Thraupis_sayaca;0;0,00579542786381597;Mata_Atlantica;R
Thryothorus_euophrys;0;0,0123224174850544;Andinean_Forest;R
Thryothorus_genibarbis;0;0,00422771604810356;Amazonia;R
Thryothorus_leucotis;0;0,0059334345019377;Amazonia;R
Thryothorus_longirostris;0;0,0119145778927919;Caatinga;R
Tiaris_fuliginosus;0;0,00701558059945728;Cerrado;R
Tolmomyias_flaviventris;0,032651658360543;0,00485466293825665;Cerrado;R
Trichothraupis_melanops;0;0,00909230729512678;Cerrado;R
