species;betweenness;weighted.betweenness;closeness;weighted.closeness;normalised.degree;biomes
Malacoptila_rufa;0;0;0,0119267049766887;0,00771260549640203;0,0588235294117647;Amazonia
Megarynchus_pitangua;0;0;0,0153193182571789;0,0121801617379223;0,0588235294117647;Mata_Atlantica
Metallura_tyrianthina;0;0;0,0153439153439153;0,0135170710572947;0,0714285714285714;Andinean_Forest
Microbates_collaris;0;0;0,0132278000650548;0,00363105309240716;0,0588235294117647;Amazonia
Mimus_saturninus;0;0;0,01508268217336;0,0102789965575518;0,0476190476190476;Cerrado
Mionectes_oleagineus;0;0;0,0122519787487802;0,00494489688515197;0,0588235294117647;Amazonia
Mionectes_striaticollis;0;0;0,0153439153439153;0,0135170710572947;0,0714285714285714;Andinean_Forest
Molothrus_bonariensis;0;0;0,0272865083375442;0,0101738853362939;0,0833333333333333;Caatinga
Myadestes_ralloides;0;0;0,0153439153439153;0,0072392434010661;0,0714285714285714;Andinean_Forest
Myiarchus_ferox;0;0;0,0115088739475438;0,00377011637430506;0,0476190476190476;Cerrado
Myiarchus_swainsoni;0,0255432595573441;0;0,0371399696816574;0,0219109107262404;0,25;Caatinga
Myiarchus_swainsoni;0,0908428397190417;0,0654751675545626;0,0186564903991762;0,0134310477973844;0,142857142857143;Cerrado
Myiarchus_swainsoni;0,00981034181671124;0;0,0171098879236024;0,0134274771681175;0,117647058823529;Mata_Atlantica
Myiarchus_tuberculifer;0;0;0,0115088739475438;0,00599111436014238;0,0476190476190476;Cerrado
Myiarchus_tuberculifer;0;0;0,0105776245109092;0,00339829223120103;0,0588235294117647;Mata_Atlantica
Myiarchus_tyrannulus;0;0;0,0295603840323396;0,00860025926148755;0,0833333333333333;Caatinga
Myiarchus_tyrannulus;0,0272061098623599;0,0103110500085925;0,0152038282149131;0,00849264954710617;0,0952380952380952;Cerrado
Myiarchus_tyrannulus;0,00797203896991583;0;0,0160488096027588;0,0123718532553702;0,117647058823529;Mata_Atlantica
Myiobius_barbatus;0;0;0,0115088739475438;0,00377011637430506;0,0476190476190476;Cerrado
Myioborus_miniatus;0;0;0,0153439153439153;0,0072392434010661;0,0714285714285714;Andinean_Forest
Myiodynastes_maculatus;0;0;0,0295603840323396;0,00860025926148755;0,0833333333333333;Caatinga
Myiodynastes_maculatus;0;0;0,0101156944696832;0,00407631676059809;0,0476190476190476;Cerrado
Myiopagis_viridicata;0,0121766534747304;0;0,0172633109213156;0,0139417048940283;0,0952380952380952;Cerrado
Myiophobus_fasciatus;0;0;0,0152038282149131;0,00695664339053667;0,0476190476190476;Cerrado
Myiothlypis_coronata;0;0;0,0153439153439153;0,0072392434010661;0,0714285714285714;Andinean_Forest
Myiothlypis_coronatus;0;0;0,0104938271604938;0,0123224174850544;0,0714285714285714;Andinean_Forest
Myiothlypis_fraseri;0;0;0,0153439153439153;0,0072392434010661;0,0714285714285714;Andinean_Forest
Myiothlypis_nigrocristata;0;0;0,0153439153439153;0,0072392434010661;0,0714285714285714;Andinean_Forest
Myrmeciza_fortis;0,0052653399668325;0;0,013715710723192;0,00528708985721723;0,117647058823529;Amazonia
Myrmeciza_fortis;0;0;0,00145502645502645;NA;0,0714285714285714;Andinean_Forest
Myrmeciza_goeldii;0;0;0,0129025262929632;0,0050170481327026;0,0588235294117647;Amazonia
Myrmeciza_hemimelaena;0;0;0,0129025262929632;0,0050170481327026;0,0588235294117647;Amazonia
Myrmoborus_myotherinus;0,0955729542993694;0,0490566037735849;0,0178900574650331;0,00842751279548343;0,294117647058824;Amazonia
Myrmoborus_myotherinus;0;0;0,00145502645502645;NA;0,0714285714285714;Andinean_Forest
Myrmornis_torquata;0;0;0,0132278000650548;0,00363105309240716;0,0588235294117647;Amazonia
Myrmotherula_axillaris;0,0140597598215171;0,0401325854156043;0,015938414832484;0,00892691940599393;0,176470588235294;Amazonia
Myrmotherula_axillaris;0;0;0;NA;0,0714285714285714;Andinean_Forest
Myrmotherula_hauxwelli;0,00774668946310737;0;0,0151252304022552;0,00625944479063853;0,117647058823529;Amazonia
Myrmotherula_menetriesii;0;0;0,0140409844952835;0,00307662496159881;0,0588235294117647;Amazonia
Neopelma_pallescens;0;0;0,017441474898866;0,00271110721788549;0,0588235294117647;Mata_Atlantica
Neothraupis_fasciata;0,0875588233881503;0,3369994844475;0,0203525349809195;0,0182052129777438;0,238095238095238;Cerrado
Nystalus_maculatus;0;0;0,017441474898866;0,00140669593291426;0,0588235294117647;Mata_Atlantica
Ochthoeca_rufipectoralis;0;0;0,0153439153439153;0,0072392434010661;0,0714285714285714;Andinean_Forest
Pachyramphus_polychopterus;0,0467102615694165;0,0984215413184772;0,0348660939868621;0,030016186212402;0,166666666666667;Caatinga
Pachyramphus_polychopterus;0;0;0,01508268217336;0,00486832339756356;0,0476190476190476;Cerrado
Paroaria_dominicana;0;0;0,0295603840323396;0,00860025926148755;0,0833333333333333;Caatinga
Paroaria_dominicana;0,000798229548229548;0;0,0129626264461809;0,00660844852276312;0,0952380952380952;Cerrado
Parula_pitiayumi;0;0;0,01508268217336;0,00486832339756356;0,0476190476190476;Cerrado
Passer_domesticus;0,0610108227776497;0;0,0198073777939306;0,0122800254897277;0,142857142857143;Cerrado
Passer_domesticus;0;0;0,0153193182571789;0,0185176815236409;0,0588235294117647;Mata_Atlantica
Phaeomyias_murina;0,0255432595573441;0,0464252553389044;0,0371399696816574;0,0311589433340773;0,166666666666667;Caatinga
